eu0	0	[[6610000, 6905999], [10483000, 10496999], [10849000, 10986999], [10993000, 11016999], [11845000, 11883999], [20589000, 20720999], [23358000, 23371999], [25694000, 25772999], [28278000, 28566999], [28941000, 28991999], [29692000, 29730999], [32444000, 32466999], [33842000, 33900999], [34424000, 34462999], [39230000, 39268999], [40549000, 40662999], [47294000, 47326999]]
eu0	1	[[7118000, 7235999], [9786000, 9837999], [10447000, 10667999], [11845000, 11903999], [13544000, 13618999], [23261000, 23413999], [24306000, 24333999], [24422000, 24557999], [25611000, 25675999], [25754000, 25798999], [26889000, 26937999], [28185000, 28258999], [34080000, 34102999], [34728000, 34737999], [36741000, 36774999], [38968000, 38987999], [39306000, 39329999], [39387000, 39476999], [39533000, 39579999], [43963000, 44068999], [47294000, 47326999]]
eu1	0	[[6610000, 6905999], [10483000, 10778999], [10894000, 10916999], [20589000, 20720999], [23358000, 23371999], [24062000, 24128999], [24297000, 24333999], [24422000, 24557999], [25558000, 25655999], [25753000, 25798999], [28322000, 28498999], [32247000, 32265999], [33842000, 33900999], [34424000, 34455999], [39006000, 39031999], [39306000, 39329999], [39467000, 39578999], [40356000, 40696999], [44083000, 44100999], [48968000, 48985999], [49537000, 49598999]]
eu1	1	[[5793000, 5801999], [6683000, 6753999], [10785000, 10796999], [10894000, 10916999], [11873000, 11893999], [12612000, 12679999], [14527000, 14529999], [23337000, 23360999], [23544000, 23548999], [23668000, 23728999], [25558000, 25703999], [28322000, 28498999], [38714000, 38732999], [39230000, 39266999], [40526000, 40619999], [47598000, 47650999]]
eu2	0	[[392000, 393999], [5011000, 5017999], [6102000, 6112999], [10406000, 10408999], [10576000, 10580999], [11912000, 11987999], [13544000, 13640999], [23337000, 23393999], [23431000, 23999999], [25024000, 25131999], [25486000, 25655999], [25703000, 25731999], [25754000, 25760999], [25947000, 25966999], [28212000, 28283999], [28448000, 28497999], [30768000, 30789999], [34376000, 34436999], [34728000, 34737999], [35491000, 35497999], [37057000, 37126999], [39234000, 39293999], [40164000, 40186999], [40560000, 40575999], [40861000, 40920999], [47526000, 47618999], [48518000, 48549999]]
eu2	1	[[1921000, 2070999], [5010000, 5017999], [10892000, 10986999], [10993000, 11016999], [13563000, 13608999], [22371000, 22397999], [22656000, 22715999], [23337000, 23393999], [24432000, 24590999], [24977000, 25131999], [25449000, 25491999], [25754000, 25964999], [28212000, 28498999], [29088000, 29145999], [32247000, 32265999], [32444000, 32466999], [33676000, 33692999], [34424000, 34462999], [35492000, 35497999], [37309000, 37354999], [38748000, 38766999], [39104000, 39151999], [39306000, 39329999], [39467000, 39578999], [41479000, 41499999], [48180000, 48195999], [48492000, 48507999], [48968000, 48985999]]
eu3	0	[[3796000, 3831999], [6662000, 6786999], [7118000, 7235999], [10203000, 10247999], [10835000, 10864999], [22222000, 22260999], [22471000, 22489999], [24557000, 24636999], [24960000, 24975999], [25473000, 25491999], [28045000, 28201999], [28247000, 28262999], [28278000, 28566999], [28941000, 29040999], [29096000, 29171999], [34292000, 34378999], [34470000, 34477999], [38741000, 38917999], [40716000, 40743999], [48968000, 48991999]]
eu3	1	[[1921000, 2070999], [3359000, 3442999], [13576000, 13626999], [14343000, 14367999], [19834000, 19879999], [24297000, 24333999], [24365000, 24751999], [25449000, 25491999], [25510000, 25703999], [28045000, 28201999], [28251000, 28357999], [29096000, 29171999], [34292000, 34378999], [38718000, 38732999], [38976000, 39054999], [39380000, 39411999], [41479000, 41499999], [43963000, 44069999], [48180000, 48194999], [48492000, 48507999], [48968000, 48985999]]
eu4	0	[[6590000, 6753999], [6806000, 6869999], [10576000, 10580999], [12264000, 12273999], [22795000, 22914999], [23391000, 23459999], [23482000, 23538999], [24432000, 24557999], [25694000, 25756999], [28251000, 28498999], [28523000, 28587999], [28614000, 28668999], [32385000, 32409999], [33676000, 33692999], [33842000, 33900999], [34728000, 34750999], [35635000, 35714999], [38890000, 39054999], [40144000, 40153999], [40339000, 40406999], [41414000, 41447999], [47526000, 47618999]]
eu4	1	[[7118000, 7190999], [11845000, 11913999], [15636000, 15640999], [20653000, 20720999], [22702000, 22756999], [23800000, 23891999], [23910000, 24043999], [24487000, 24499999], [24959000, 25058999], [27694000, 27709999], [28229000, 28263999], [34424000, 34457999], [37057000, 37126999], [38746000, 38766999], [38890000, 39054999], [39098000, 39132999], [40589000, 40612999]]
